(5, 6) (4, 7) (3, 8) (2, 9) (1, 10) (0, 11)
(4, 5) (6, 7) (3, 8) (2, 9) (1, 10) (0, 11)
(4, 5) (3, 6) (7, 8) (2, 9) (1, 10) (0, 11)
(4, 5) (3, 6) (2, 7) (8, 9) (1, 10) (0, 11)
(4, 5) (3, 6) (2, 7) (1, 8) (9, 10) (0, 11)
(4, 5) (3, 6) (2, 7) (1, 8) (0, 9) (10, 11)
(3, 4) (6, 7) (5, 8) (2, 9) (1, 10) (0, 11)
(3, 4) (5, 6) (7, 8) (2, 9) (1, 10) (0, 11)
(3, 4) (5, 6) (2, 7) (8, 9) (1, 10) (0, 11)
(3, 4) (5, 6) (2, 7) (1, 8) (9, 10) (0, 11)
(3, 4) (5, 6) (2, 7) (1, 8) (0, 9) (10, 11)
(3, 4) (2, 5) (7, 8) (6, 9) (1, 10) (0, 11)
(3, 4) (2, 5) (6, 7) (8, 9) (1, 10) (0, 11)
(3, 4) (2, 5) (6, 7) (1, 8) (9, 10) (0, 11)
(3, 4) (2, 5) (6, 7) (1, 8) (0, 9) (10, 11)
(3, 4) (2, 5) (1, 6) (8, 9) (7, 10) (0, 11)
(3, 4) (2, 5) (1, 6) (7, 8) (9, 10) (0, 11)
(3, 4) (2, 5) (1, 6) (7, 8) (0, 9) (10, 11)
(3, 4) (2, 5) (1, 6) (0, 7) (9, 10) (8, 11)
(3, 4) (2, 5) (1, 6) (0, 7) (8, 9) (10, 11)
(2, 3) (6, 7) (5, 8) (4, 9) (1, 10) (0, 11)
(2, 3) (5, 6) (7, 8) (4, 9) (1, 10) (0, 11)
(2, 3) (5, 6) (4, 7) (8, 9) (1, 10) (0, 11)
(2, 3) (5, 6) (4, 7) (1, 8) (9, 10) (0, 11)
(2, 3) (5, 6) (4, 7) (1, 8) (0, 9) (10, 11)
(2, 3) (4, 5) (7, 8) (6, 9) (1, 10) (0, 11)
(2, 3) (4, 5) (6, 7) (8, 9) (1, 10) (0, 11)
(2, 3) (4, 5) (6, 7) (1, 8) (9, 10) (0, 11)
(2, 3) (4, 5) (6, 7) (1, 8) (0, 9) (10, 11)
(2, 3) (4, 5) (1, 6) (8, 9) (7, 10) (0, 11)
(2, 3) (4, 5) (1, 6) (7, 8) (9, 10) (0, 11)
(2, 3) (4, 5) (1, 6) (7, 8) (0, 9) (10, 11)
(2, 3) (4, 5) (1, 6) (0, 7) (9, 10) (8, 11)
(2, 3) (4, 5) (1, 6) (0, 7) (8, 9) (10, 11)
(2, 3) (1, 4) (7, 8) (6, 9) (5, 10) (0, 11)
(2, 3) (1, 4) (6, 7) (8, 9) (5, 10) (0, 11)
(2, 3) (1, 4) (6, 7) (5, 8) (9, 10) (0, 11)
(2, 3) (1, 4) (6, 7) (5, 8) (0, 9) (10, 11)
(2, 3) (1, 4) (5, 6) (8, 9) (7, 10) (0, 11)
(2, 3) (1, 4) (5, 6) (7, 8) (9, 10) (0, 11)
(2, 3) (1, 4) (5, 6) (7, 8) (0, 9) (10, 11)
(2, 3) (1, 4) (5, 6) (0, 7) (9, 10) (8, 11)
(2, 3) (1, 4) (5, 6) (0, 7) (8, 9) (10, 11)
(2, 3) (1, 4) (0, 5) (8, 9) (7, 10) (6, 11)
(2, 3) (1, 4) (0, 5) (7, 8) (9, 10) (6, 11)
(2, 3) (1, 4) (0, 5) (7, 8) (6, 9) (10, 11)
(2, 3) (1, 4) (0, 5) (6, 7) (9, 10) (8, 11)
(2, 3) (1, 4) (0, 5) (6, 7) (8, 9) (10, 11)
(1, 2) (6, 7) (5, 8) (4, 9) (3, 10) (0, 11)
(1, 2) (5, 6) (7, 8) (4, 9) (3, 10) (0, 11)
(1, 2) (5, 6) (4, 7) (8, 9) (3, 10) (0, 11)
(1, 2) (5, 6) (4, 7) (3, 8) (9, 10) (0, 11)
(1, 2) (5, 6) (4, 7) (3, 8) (0, 9) (10, 11)
(1, 2) (4, 5) (7, 8) (6, 9) (3, 10) (0, 11)
(1, 2) (4, 5) (6, 7) (8, 9) (3, 10) (0, 11)
(1, 2) (4, 5) (6, 7) (3, 8) (9, 10) (0, 11)
(1, 2) (4, 5) (6, 7) (3, 8) (0, 9) (10, 11)
(1, 2) (4, 5) (3, 6) (8, 9) (7, 10) (0, 11)
(1, 2) (4, 5) (3, 6) (7, 8) (9, 10) (0, 11)
(1, 2) (4, 5) (3, 6) (7, 8) (0, 9) (10, 11)
(1, 2) (4, 5) (3, 6) (0, 7) (9, 10) (8, 11)
(1, 2) (4, 5) (3, 6) (0, 7) (8, 9) (10, 11)
(1, 2) (3, 4) (7, 8) (6, 9) (5, 10) (0, 11)
(1, 2) (3, 4) (6, 7) (8, 9) (5, 10) (0, 11)
(1, 2) (3, 4) (6, 7) (5, 8) (9, 10) (0, 11)
(1, 2) (3, 4) (6, 7) (5, 8) (0, 9) (10, 11)
(1, 2) (3, 4) (5, 6) (8, 9) (7, 10) (0, 11)
(1, 2) (3, 4) (5, 6) (7, 8) (9, 10) (0, 11)
(1, 2) (3, 4) (5, 6) (7, 8) (0, 9) (10, 11)
(1, 2) (3, 4) (5, 6) (0, 7) (9, 10) (8, 11)
(1, 2) (3, 4) (5, 6) (0, 7) (8, 9) (10, 11)
(1, 2) (3, 4) (0, 5) (8, 9) (7, 10) (6, 11)
(1, 2) (3, 4) (0, 5) (7, 8) (9, 10) (6, 11)
(1, 2) (3, 4) (0, 5) (7, 8) (6, 9) (10, 11)
(1, 2) (3, 4) (0, 5) (6, 7) (9, 10) (8, 11)
(1, 2) (3, 4) (0, 5) (6, 7) (8, 9) (10, 11)
(1, 2) (0, 3) (7, 8) (6, 9) (5, 10) (4, 11)
(1, 2) (0, 3) (6, 7) (8, 9) (5, 10) (4, 11)
(1, 2) (0, 3) (6, 7) (5, 8) (9, 10) (4, 11)
(1, 2) (0, 3) (6, 7) (5, 8) (4, 9) (10, 11)
(1, 2) (0, 3) (5, 6) (8, 9) (7, 10) (4, 11)
(1, 2) (0, 3) (5, 6) (7, 8) (9, 10) (4, 11)
(1, 2) (0, 3) (5, 6) (7, 8) (4, 9) (10, 11)
(1, 2) (0, 3) (5, 6) (4, 7) (9, 10) (8, 11)
(1, 2) (0, 3) (5, 6) (4, 7) (8, 9) (10, 11)
(1, 2) (0, 3) (4, 5) (8, 9) (7, 10) (6, 11)
(1, 2) (0, 3) (4, 5) (7, 8) (9, 10) (6, 11)
(1, 2) (0, 3) (4, 5) (7, 8) (6, 9) (10, 11)
(1, 2) (0, 3) (4, 5) (6, 7) (9, 10) (8, 11)
(1, 2) (0, 3) (4, 5) (6, 7) (8, 9) (10, 11)
(0, 1) (6, 7) (5, 8) (4, 9) (3, 10) (2, 11)
(0, 1) (5, 6) (7, 8) (4, 9) (3, 10) (2, 11)
(0, 1) (5, 6) (4, 7) (8, 9) (3, 10) (2, 11)
(0, 1) (5, 6) (4, 7) (3, 8) (9, 10) (2, 11)
(0, 1) (5, 6) (4, 7) (3, 8) (2, 9) (10, 11)
(0, 1) (4, 5) (7, 8) (6, 9) (3, 10) (2, 11)
(0, 1) (4, 5) (6, 7) (8, 9) (3, 10) (2, 11)
(0, 1) (4, 5) (6, 7) (3, 8) (9, 10) (2, 11)
(0, 1) (4, 5) (6, 7) (3, 8) (2, 9) (10, 11)
(0, 1) (4, 5) (3, 6) (8, 9) (7, 10) (2, 11)
(0, 1) (4, 5) (3, 6) (7, 8) (9, 10) (2, 11)
(0, 1) (4, 5) (3, 6) (7, 8) (2, 9) (10, 11)
(0, 1) (4, 5) (3, 6) (2, 7) (9, 10) (8, 11)
(0, 1) (4, 5) (3, 6) (2, 7) (8, 9) (10, 11)
