(7, 8) (6, 9) (5, 10) (4, 11) (3, 12) (2, 13) (1, 14) (0, 15)
(6, 7) (8, 9) (5, 10) (4, 11) (3, 12) (2, 13) (1, 14) (0, 15)
(6, 7) (5, 8) (9, 10) (4, 11) (3, 12) (2, 13) (1, 14) (0, 15)
(6, 7) (5, 8) (4, 9) (10, 11) (3, 12) (2, 13) (1, 14) (0, 15)
(6, 7) (5, 8) (4, 9) (3, 10) (11, 12) (2, 13) (1, 14) (0, 15)
(6, 7) (5, 8) (4, 9) (3, 10) (2, 11) (12, 13) (1, 14) (0, 15)
(6, 7) (5, 8) (4, 9) (3, 10) (2, 11) (1, 12) (13, 14) (0, 15)
(6, 7) (5, 8) (4, 9) (3, 10) (2, 11) (1, 12) (0, 13) (14, 15)
(5, 6) (8, 9) (7, 10) (4, 11) (3, 12) (2, 13) (1, 14) (0, 15)
(5, 6) (7, 8) (9, 10) (4, 11) (3, 12) (2, 13) (1, 14) (0, 15)
(5, 6) (7, 8) (4, 9) (10, 11) (3, 12) (2, 13) (1, 14) (0, 15)
(5, 6) (7, 8) (4, 9) (3, 10) (11, 12) (2, 13) (1, 14) (0, 15)
(5, 6) (7, 8) (4, 9) (3, 10) (2, 11) (12, 13) (1, 14) (0, 15)
(5, 6) (7, 8) (4, 9) (3, 10) (2, 11) (1, 12) (13, 14) (0, 15)
(5, 6) (7, 8) (4, 9) (3, 10) (2, 11) (1, 12) (0, 13) (14, 15)
(5, 6) (4, 7) (9, 10) (8, 11) (3, 12) (2, 13) (1, 14) (0, 15)
(5, 6) (4, 7) (8, 9) (10, 11) (3, 12) (2, 13) (1, 14) (0, 15)
(5, 6) (4, 7) (8, 9) (3, 10) (11, 12) (2, 13) (1, 14) (0, 15)
(5, 6) (4, 7) (8, 9) (3, 10) (2, 11) (12, 13) (1, 14) (0, 15)
(5, 6) (4, 7) (8, 9) (3, 10) (2, 11) (1, 12) (13, 14) (0, 15)
(5, 6) (4, 7) (8, 9) (3, 10) (2, 11) (1, 12) (0, 13) (14, 15)
(5, 6) (4, 7) (3, 8) (10, 11) (9, 12) (2, 13) (1, 14) (0, 15)
(5, 6) (4, 7) (3, 8) (9, 10) (11, 12) (2, 13) (1, 14) (0, 15)
(5, 6) (4, 7) (3, 8) (9, 10) (2, 11) (12, 13) (1, 14) (0, 15)
(5, 6) (4, 7) (3, 8) (9, 10) (2, 11) (1, 12) (13, 14) (0, 15)
(5, 6) (4, 7) (3, 8) (9, 10) (2, 11) (1, 12) (0, 13) (14, 15)
(5, 6) (4, 7) (3, 8) (2, 9) (11, 12) (10, 13) (1, 14) (0, 15)
(5, 6) (4, 7) (3, 8) (2, 9) (10, 11) (12, 13) (1, 14) (0, 15)
(5, 6) (4, 7) (3, 8) (2, 9) (10, 11) (1, 12) (13, 14) (0, 15)
(5, 6) (4, 7) (3, 8) (2, 9) (10, 11) (1, 12) (0, 13) (14, 15)
(5, 6) (4, 7) (3, 8) (2, 9) (1, 10) (12, 13) (11, 14) (0, 15)
(5, 6) (4, 7) (3, 8) (2, 9) (1, 10) (11, 12) (13, 14) (0, 15)
(5, 6) (4, 7) (3, 8) (2, 9) (1, 10) (11, 12) (0, 13) (14, 15)
(5, 6) (4, 7) (3, 8) (2, 9) (1, 10) (0, 11) (13, 14) (12, 15)
(5, 6) (4, 7) (3, 8) (2, 9) (1, 10) (0, 11) (12, 13) (14, 15)
(4, 5) (8, 9) (7, 10) (6, 11) (3, 12) (2, 13) (1, 14) (0, 15)
(4, 5) (7, 8) (9, 10) (6, 11) (3, 12) (2, 13) (1, 14) (0, 15)
(4, 5) (7, 8) (6, 9) (10, 11) (3, 12) (2, 13) (1, 14) (0, 15)
(4, 5) (7, 8) (6, 9) (3, 10) (11, 12) (2, 13) (1, 14) (0, 15)
(4, 5) (7, 8) (6, 9) (3, 10) (2, 11) (12, 13) (1, 14) (0, 15)
(4, 5) (7, 8) (6, 9) (3, 10) (2, 11) (1, 12) (13, 14) (0, 15)
(4, 5) (7, 8) (6, 9) (3, 10) (2, 11) (1, 12) (0, 13) (14, 15)
(4, 5) (6, 7) (9, 10) (8, 11) (3, 12) (2, 13) (1, 14) (0, 15)
(4, 5) (6, 7) (8, 9) (10, 11) (3, 12) (2, 13) (1, 14) (0, 15)
(4, 5) (6, 7) (8, 9) (3, 10) (11, 12) (2, 13) (1, 14) (0, 15)
(4, 5) (6, 7) (8, 9) (3, 10) (2, 11) (12, 13) (1, 14) (0, 15)
(4, 5) (6, 7) (8, 9) (3, 10) (2, 11) (1, 12) (13, 14) (0, 15)
(4, 5) (6, 7) (8, 9) (3, 10) (2, 11) (1, 12) (0, 13) (14, 15)
(4, 5) (6, 7) (3, 8) (10, 11) (9, 12) (2, 13) (1, 14) (0, 15)
(4, 5) (6, 7) (3, 8) (9, 10) (11, 12) (2, 13) (1, 14) (0, 15)
(4, 5) (6, 7) (3, 8) (9, 10) (2, 11) (12, 13) (1, 14) (0, 15)
(4, 5) (6, 7) (3, 8) (9, 10) (2, 11) (1, 12) (13, 14) (0, 15)
(4, 5) (6, 7) (3, 8) (9, 10) (2, 11) (1, 12) (0, 13) (14, 15)
(4, 5) (6, 7) (3, 8) (2, 9) (11, 12) (10, 13) (1, 14) (0, 15)
(4, 5) (6, 7) (3, 8) (2, 9) (10, 11) (12, 13) (1, 14) (0, 15)
(4, 5) (6, 7) (3, 8) (2, 9) (10, 11) (1, 12) (13, 14) (0, 15)
(4, 5) (6, 7) (3, 8) (2, 9) (10, 11) (1, 12) (0, 13) (14, 15)
(4, 5) (6, 7) (3, 8) (2, 9) (1, 10) (12, 13) (11, 14) (0, 15)
(4, 5) (6, 7) (3, 8) (2, 9) (1, 10) (11, 12) (13, 14) (0, 15)
(4, 5) (6, 7) (3, 8) (2, 9) (1, 10) (11, 12) (0, 13) (14, 15)
(4, 5) (6, 7) (3, 8) (2, 9) (1, 10) (0, 11) (13, 14) (12, 15)
(4, 5) (6, 7) (3, 8) (2, 9) (1, 10) (0, 11) (12, 13) (14, 15)
(4, 5) (3, 6) (9, 10) (8, 11) (7, 12) (2, 13) (1, 14) (0, 15)
(4, 5) (3, 6) (8, 9) (10, 11) (7, 12) (2, 13) (1, 14) (0, 15)
(4, 5) (3, 6) (8, 9) (7, 10) (11, 12) (2, 13) (1, 14) (0, 15)
(4, 5) (3, 6) (8, 9) (7, 10) (2, 11) (12, 13) (1, 14) (0, 15)
(4, 5) (3, 6) (8, 9) (7, 10) (2, 11) (1, 12) (13, 14) (0, 15)
(4, 5) (3, 6) (8, 9) (7, 10) (2, 11) (1, 12) (0, 13) (14, 15)
(4, 5) (3, 6) (7, 8) (10, 11) (9, 12) (2, 13) (1, 14) (0, 15)
(4, 5) (3, 6) (7, 8) (9, 10) (11, 12) (2, 13) (1, 14) (0, 15)
(4, 5) (3, 6) (7, 8) (9, 10) (2, 11) (12, 13) (1, 14) (0, 15)
(4, 5) (3, 6) (7, 8) (9, 10) (2, 11) (1, 12) (13, 14) (0, 15)
(4, 5) (3, 6) (7, 8) (9, 10) (2, 11) (1, 12) (0, 13) (14, 15)
(4, 5) (3, 6) (7, 8) (2, 9) (11, 12) (10, 13) (1, 14) (0, 15)
(4, 5) (3, 6) (7, 8) (2, 9) (10, 11) (12, 13) (1, 14) (0, 15)
(4, 5) (3, 6) (7, 8) (2, 9) (10, 11) (1, 12) (13, 14) (0, 15)
(4, 5) (3, 6) (7, 8) (2, 9) (10, 11) (1, 12) (0, 13) (14, 15)
(4, 5) (3, 6) (7, 8) (2, 9) (1, 10) (12, 13) (11, 14) (0, 15)
(4, 5) (3, 6) (7, 8) (2, 9) (1, 10) (11, 12) (13, 14) (0, 15)
(4, 5) (3, 6) (7, 8) (2, 9) (1, 10) (11, 12) (0, 13) (14, 15)
(4, 5) (3, 6) (7, 8) (2, 9) (1, 10) (0, 11) (13, 14) (12, 15)
(4, 5) (3, 6) (7, 8) (2, 9) (1, 10) (0, 11) (12, 13) (14, 15)
(4, 5) (3, 6) (2, 7) (10, 11) (9, 12) (8, 13) (1, 14) (0, 15)
(4, 5) (3, 6) (2, 7) (9, 10) (11, 12) (8, 13) (1, 14) (0, 15)
(4, 5) (3, 6) (2, 7) (9, 10) (8, 11) (12, 13) (1, 14) (0, 15)
(4, 5) (3, 6) (2, 7) (9, 10) (8, 11) (1, 12) (13, 14) (0, 15)
(4, 5) (3, 6) (2, 7) (9, 10) (8, 11) (1, 12) (0, 13) (14, 15)
(4, 5) (3, 6) (2, 7) (8, 9) (11, 12) (10, 13) (1, 14) (0, 15)
(4, 5) (3, 6) (2, 7) (8, 9) (10, 11) (12, 13) (1, 14) (0, 15)
(4, 5) (3, 6) (2, 7) (8, 9) (10, 11) (1, 12) (13, 14) (0, 15)
(4, 5) (3, 6) (2, 7) (8, 9) (10, 11) (1, 12) (0, 13) (14, 15)
(4, 5) (3, 6) (2, 7) (8, 9) (1, 10) (12, 13) (11, 14) (0, 15)
(4, 5) (3, 6) (2, 7) (8, 9) (1, 10) (11, 12) (13, 14) (0, 15)
(4, 5) (3, 6) (2, 7) (8, 9) (1, 10) (11, 12) (0, 13) (14, 15)
(4, 5) (3, 6) (2, 7) (8, 9) (1, 10) (0, 11) (13, 14) (12, 15)
(4, 5) (3, 6) (2, 7) (8, 9) (1, 10) (0, 11) (12, 13) (14, 15)
(4, 5) (3, 6) (2, 7) (1, 8) (11, 12) (10, 13) (9, 14) (0, 15)
(4, 5) (3, 6) (2, 7) (1, 8) (10, 11) (12, 13) (9, 14) (0, 15)
(4, 5) (3, 6) (2, 7) (1, 8) (10, 11) (9, 12) (13, 14) (0, 15)
(4, 5) (3, 6) (2, 7) (1, 8) (10, 11) (9, 12) (0, 13) (14, 15)
(4, 5) (3, 6) (2, 7) (1, 8) (9, 10) (12, 13) (11, 14) (0, 15)
(4, 5) (3, 6) (2, 7) (1, 8) (9, 10) (11, 12) (13, 14) (0, 15)
(4, 5) (3, 6) (2, 7) (1, 8) (9, 10) (11, 12) (0, 13) (14, 15)
(4, 5) (3, 6) (2, 7) (1, 8) (9, 10) (0, 11) (13, 14) (12, 15)
(4, 5) (3, 6) (2, 7) (1, 8) (9, 10) (0, 11) (12, 13) (14, 15)
(4, 5) (3, 6) (2, 7) (1, 8) (0, 9) (12, 13) (11, 14) (10, 15)
